TestImage                Score
pd10.jpg                -0.171760
pd09.jpg                -0.288437
pd08.jpg                 0.244162
pd07.jpg                 0.302089
pd06.jpg                -0.001835
pd05.jpg                 0.589657
pd04.jpg                -0.540051
pd03.jpg                -0.495419
pd02.jpg                -0.500040
pd01.jpg                -0.530591
ms10.jpg                 1.000000
ms09.jpg                 0.316071
ms08.jpg                 0.257490
ms07.jpg                 0.896898
ms06.jpg                 0.345262
ms05.jpg                 0.140752
ms04.jpg                -0.536108
ms03.jpg                 0.183299
ms02.jpg                 0.269680
ms01.jpg                -0.758557
